requested_dev_sms,requested_zc_sms,pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
12,4,strided,32,4,12,4,52.704842,25.475454,40.700454,9.801242,50.501695,78.180295,64.596450,77.223368,38.473276
12,4,strided,32,8,12,4,103.388193,35.303955,80.382218,14.725882,95.108100,138.692149,68.574970,77.747967,41.711704
12,4,strided,32,16,12,4,167.432272,40.726341,148.028162,19.632854,167.661017,208.158614,80.544837,88.410770,48.206772
12,4,strided,32,32,12,4,206.440528,40.520712,201.545073,27.526737,229.071810,246.961240,92.756179,97.628636,67.932510
12,4,strided,64,1,12,4,13.214985,9.317984,9.819874,5.737024,15.556899,22.532969,69.040608,74.308632,61.569372
12,4,strided,64,2,12,4,26.405010,13.981339,18.885520,5.833054,24.718574,40.386349,61.205269,71.522486,41.720281
12,4,strided,64,4,12,4,52.841294,25.450565,39.915720,9.666700,49.582420,78.291859,63.330237,75.538876,37.982262
12,4,strided,64,8,12,4,103.329612,35.195087,79.660865,14.584419,94.245285,138.524698,68.035005,77.093937,41.438794
12,4,strided,64,16,12,4,167.535941,40.745036,146.119451,19.506803,165.626254,208.280976,79.520587,87.216779,47.875288
12,4,strided,64,32,12,4,206.811444,40.494086,201.471861,27.202944,228.674805,247.305530,92.466515,97.418139,67.177574
12,4,scatter,1,1,12,4,11.669516,8.726498,9.181283,5.776132,14.957416,20.396014,73.334995,78.677501,66.190726
12,4,scatter,1,2,12,4,17.862088,10.404192,11.100271,4.603540,15.703812,28.266279,55.556699,62.144311,44.246977
12,4,scatter,1,4,12,4,25.970279,14.081650,13.623532,5.745748,19.369280,40.051929,48.360417,52.458165,40.803087
12,4,scatter,1,8,12,4,30.989952,17.483260,20.116951,9.642752,29.759703,48.473212,61.394123,64.914433,55.154198
12,4,scatter,1,16,12,4,43.300958,20.158720,25.253504,9.920249,35.173753,63.459678,55.426933,58.320890,49.210710
